test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,indexTime,elapsedTime,numMachines,storage,tsStorage,gsStorage,tsCard,gsCard
79861518-550d-47d2-99ef-481dc0fe92ea,stgraph,1774909184.556,1774909412.981,smartbench,medium,16,8768,42095,174598,225461,1,-2,-1,-1,10368000,6237
d229f423-7098-46f9-8ec6-4533e2d414fb,stgraph,1774909413.369,1774917956.789,smartbench,large,1,27286,2967487,4897538,7892311,1,-2,-1,-1,259200000,26537
a8c3c905-515a-406b-80f8-139a94b34a41,stgraph,1774917958.002,1774924260.636,smartbench,large,16,29663,1202312,5032147,6264122,1,-2,-1,-1,259200000,26537
afb18163-ae52-4042-9e60-b22f14342aea,stgraph,1774924261.003,1774924322.111,smartbench,small,1,3643,16505,35629,55777,2,-2,-1,-1,2592000,3497
629b0ced-fe41-49fd-b49e-45b4607e1ba5,stgraph,1774924322.273,1774924375.988,smartbench,small,16,6214,10266,36630,53110,2,-2,-1,-1,2592000,3497
0df01a91-d0c8-4475-a45d-5af1ee063fb1,stgraph,1774924376.467,1774924640.451,smartbench,medium,1,6463,65210,165953,237626,2,-2,-1,-1,10368000,6237
3fc37eb0-4cb2-4630-b1c4-dcdd007f885c,stgraph,1774924640.666,1774924869.560,smartbench,medium,16,10882,45007,168976,224865,2,-2,-1,-1,10368000,6237
0634c675-a2fa-4efe-ac09-ab6d472fe0c3,stgraph,1774924871.198,1774934333.703,smartbench,large,1,27339,3930069,4857751,8815159,2,-2,-1,-1,259200000,26537
dbf75467-bd38-4bfd-a886-cffdb49ca0f5,stgraph,1774934335.199,1774940510.788,smartbench,large,16,31706,1266393,4846139,6144238,2,-2,-1,-1,259200000,26537
e6f0c840-4e98-48d2-8737-ee37389d89f6,stgraph,1774940511.431,1774940568.173,smartbench,small,1,3654,30682,17669,52005,4,-2,-1,-1,2592000,3497
cc3085d6-51de-4158-b2d3-aeb39445a039,stgraph,1774940568.312,1774940608.197,smartbench,small,16,5798,14079,21469,41346,4,-2,-1,-1,2592000,3497
3232d52e-38e4-4252-adfe-369d94723cda,stgraph,1774940608.648,1774940845.065,smartbench,medium,1,6451,115032,81517,203000,4,-2,-1,-1,10368000,6237
309fc06e-c789-47ec-85b7-f1b46b67c805,stgraph,1774940845.238,1774941005.474,smartbench,medium,16,12023,53282,89668,154973,4,-2,-1,-1,10368000,6237
9004e05c-0eef-435c-a9fb-0707304ded99,stgraph,1774941006.693,1774949403.852,smartbench,large,1,30424,5438273,2250387,7719084,4,-2,-1,-1,259200000,26537
e5b35b22-6146-4220-92bd-51f633a1a917,stgraph,1774949404.711,1774953164.430,smartbench,large,16,36314,1404438,2271179,3711931,4,-2,-1,-1,259200000,26537
cd0f92e2-ee22-42b9-ac20-e02dda447cc6,stgraph,1774961928.384,1774961983.072,smartbench,small,16,6700,11025,36217,53942,2,-2,-1,-1,2592000,3497
81e0ea56-027b-4508-ae96-981c6648ba71,stgraph,1774961983.508,1774962218.855,smartbench,medium,16,10656,49162,171709,231527,2,-2,-1,-1,10368000,6237
aa7fac17-baee-479d-905c-ae5bbd0af967,stgraph,1774962220.354,1774968385.105,smartbench,large,16,31848,1263617,4829608,6125073,2,-2,-1,-1,259200000,26537
