test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,711272,100,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,56034997,100,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,59125001,74,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5582,100,1
b385b33c-084d-4078-8a8b-aa980eedcf4f,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,57,1,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,67,10,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,706128,100,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,55771761,100,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,58694382,74,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentOutlier,edgesDirection,5610,100,1
82e69fd1-53e7-4b09-b45a-249eb834c841,HyGraph,smartbench,small,1,AgentHistory,edgesDirection,62,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25046,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,226,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25399,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,16,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,256,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25080,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,18,1,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,EnvironmentCoverage,edgesDirection,264,20,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentOutlier,edgesDirection,25135,200,1
3993bbc3-80e8-42af-80e9-82f69d68a971,HyGraph,smartbench,large,1,AgentHistory,edgesDirection,17,1,1
