test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality,queryMode
105fbbbc-0dc7-4953-98f1-66d05ef96907,EnvironmentAggregate,stgraph,smartbench,small,4,538,1,73,OPTIMIZED
6e61426f-9929-44de-a986-0afc0ed53496,EnvironmentAggregate,stgraph,smartbench,small,8,364,1,73,OPTIMIZED
985eb672-b22b-4e82-8a75-bf6b5ad63f50,EnvironmentAggregate,stgraph,smartbench,small,16,239,1,73,OPTIMIZED
bb353843-a491-4ba1-afe3-8ada46c3774c,EnvironmentAggregate,stgraph,smartbench,medium,1,4822,1,90,OPTIMIZED
8d2700bb-654a-4f1b-aaf4-06f1075e84b2,EnvironmentAggregate,stgraph,smartbench,medium,4,1302,1,90,OPTIMIZED
a166fb76-eef4-45cc-a62c-91b3af7c34e0,EnvironmentAggregate,stgraph,smartbench,medium,8,860,1,90,OPTIMIZED
e6b63906-7e82-4461-aaa9-92bc0a2979a4,EnvironmentAggregate,stgraph,smartbench,medium,16,952,1,90,OPTIMIZED
6f5a004a-b3cc-4200-ad0d-d4bc912c98a1,EnvironmentAggregate,stgraph,smartbench,large,1,69047,1,112,OPTIMIZED
b423666a-873c-4fad-8608-d2a5392211b7,EnvironmentAggregate,stgraph,smartbench,large,4,16812,1,112,OPTIMIZED
8f9fb883-dc57-49a4-9031-03a6a1d200df,EnvironmentAggregate,stgraph,smartbench,large,8,11245,1,112,OPTIMIZED
226a724f-7a2f-4d68-8635-e04d6008b659,EnvironmentAggregate,stgraph,smartbench,large,16,9394,1,112,OPTIMIZED
f4e0fbea-e9ed-4e84-8058-ffc4fdfddb74,EnvironmentAggregate,stgraph,smartbench,small,1,3497,4,73,OPTIMIZED
ed1948cb-7852-4c35-815c-490c39444cc1,EnvironmentAggregate,stgraph,smartbench,small,4,885,4,73,OPTIMIZED
b8426f8a-6c86-427e-9a88-bbad806155b3,EnvironmentAggregate,stgraph,smartbench,small,8,586,4,73,OPTIMIZED
c3a75b0a-86b1-4a9e-9f77-4ca66bcb6913,EnvironmentAggregate,stgraph,smartbench,small,16,366,4,73,OPTIMIZED
d9767d75-4158-4c88-bfff-4d5c46805c78,EnvironmentAggregate,stgraph,smartbench,medium,1,9346,4,90,OPTIMIZED
2829e9d2-5afe-4473-a704-bd80acebb602,EnvironmentAggregate,stgraph,smartbench,medium,4,2127,4,90,OPTIMIZED
4fc004c0-bb73-427d-8200-92902df87186,EnvironmentAggregate,stgraph,smartbench,medium,8,1308,4,90,OPTIMIZED
d0fe8cc0-6848-4505-a068-bb48778ffa81,EnvironmentAggregate,stgraph,smartbench,medium,16,918,4,90,OPTIMIZED
13f1ea1b-84f6-4087-aea7-cff527e81194,EnvironmentAggregate,stgraph,smartbench,large,1,85828,4,112,OPTIMIZED
146b084d-c73e-4395-a5ef-79337f3d4d1e,EnvironmentAggregate,stgraph,smartbench,large,4,22179,4,112,OPTIMIZED
b8a6bb71-9517-47be-9546-7db504e3a394,EnvironmentAggregate,stgraph,smartbench,large,8,10438,4,112,OPTIMIZED
1221ab46-dc46-42be-9147-3bf6969a6e8d,EnvironmentAggregate,stgraph,smartbench,large,16,7053,4,112,OPTIMIZED
ac8eaa1d-72d7-4cd2-b022-2044dbe437b6,EnvironmentAggregate,stgraph,smartbench,small,1,3405,2,73,OPTIMIZED
46b89537-8cde-40f9-8524-2825bdf79948,EnvironmentAggregate,stgraph,smartbench,small,16,292,2,73,OPTIMIZED
7f1c47ab-1d4a-412c-86c0-02b3db1c0f6c,EnvironmentAggregate,stgraph,smartbench,medium,1,8344,2,90,OPTIMIZED
96c04985-ae1b-484b-86f9-2e374b3d05af,EnvironmentAggregate,stgraph,smartbench,medium,16,796,2,90,OPTIMIZED
78786413-8a83-41c1-96bb-9e6bb9dd32ab,EnvironmentAggregate,stgraph,smartbench,large,1,88108,2,112,OPTIMIZED
daff6239-33b0-490f-be38-9dc609857731,EnvironmentAggregate,stgraph,smartbench,large,16,7766,2,112,OPTIMIZED
deff91d1-828f-447e-88f2-f4ad3cec8162,AgentOutlier,stgraph,smartbench,small,1,52407,1,100,NAIVE
6bb23905-9002-44bd-aecf-c0ea112f491b,AgentOutlier,stgraph,smartbench,medium,1,213754,1,200,NAIVE
4714e3f0-5c6e-4dfd-ba80-00be80f7deec,EnvironmentAggregate,stgraph,smartbench,small,32,835,1,73,OPTIMIZED
c6ed631e-ba8d-4498-84e7-d7a2d2fcaf13,EnvironmentAggregate,stgraph,smartbench,small,64,439,1,73,OPTIMIZED
433124ef-5c81-4dd8-b8dd-0dcb22fb44dd,EnvironmentAggregate,stgraph,smartbench,medium,32,795,1,90,OPTIMIZED
b2d155e7-bc37-4415-bc01-fea60552af85,EnvironmentAggregate,stgraph,smartbench,medium,64,807,1,90,OPTIMIZED
c13a2c74-b7e6-4f59-b558-369cfb7c1dc7,EnvironmentAggregate,stgraph,smartbench,large,32,8914,1,112,OPTIMIZED
b64bb097-6c92-4424-b20a-19ede215699f,EnvironmentAggregate,stgraph,smartbench,large,64,8098,1,112,OPTIMIZED
d8bdb26c-38a0-4c71-b4b2-67b3842b5d53,EnvironmentAggregate,stgraph,smartbench,small,32,400,4,73,OPTIMIZED
dbcc5bf0-8e7e-4cbd-9fcf-ed6b9f35a734,EnvironmentAggregate,stgraph,smartbench,small,64,307,4,73,OPTIMIZED
8e900a91-b1d6-41e0-8f21-7089285a650f,EnvironmentAggregate,stgraph,smartbench,medium,32,687,4,90,OPTIMIZED
b8371ac3-106f-4f60-85e1-c0b30d05b8f3,EnvironmentAggregate,stgraph,smartbench,medium,64,702,4,90,OPTIMIZED
c5d7a78d-70f5-45ef-93fd-5db13d2517de,EnvironmentAggregate,stgraph,smartbench,large,32,6013,4,112,OPTIMIZED
dfd2a2ce-7cb8-4d5f-9197-1730fa302da8,EnvironmentAggregate,stgraph,smartbench,large,64,5961,4,112,OPTIMIZED
b3da50a7-a473-4b1b-beff-df3befc3eb7d,EnvironmentAggregate,stgraph,smartbench,small,32,375,2,73,OPTIMIZED
4419c596-5890-428a-9b59-108cc23bb4e7,EnvironmentAggregate,stgraph,smartbench,small,64,283,2,73,OPTIMIZED
4d958efd-31ac-48bf-b947-d7ddda428c27,EnvironmentAggregate,stgraph,smartbench,medium,32,622,2,90,OPTIMIZED
ab67cf82-7c87-4484-aab3-f1134be04e18,EnvironmentAggregate,stgraph,smartbench,medium,64,613,2,90,OPTIMIZED
72293ec1-4430-40a7-a252-5ecc60cc7bb5,EnvironmentAggregate,stgraph,smartbench,large,32,6181,2,112,OPTIMIZED
ba010d0f-d165-4045-b39f-c1a2d25e0f36,EnvironmentAggregate,stgraph,smartbench,large,64,6219,2,112,OPTIMIZED
44b820ae-010b-4027-8276-a5c8fba61690,AgentOutlier,stgraph,smartbench,small,32,299,1,100,OPTIMIZED
8bc8ad3f-dcae-4b5d-a179-091c1a83cda4,AgentOutlier,stgraph,smartbench,small,64,313,1,100,OPTIMIZED
965b682c-1fb3-4c88-8519-1e06d8344aa2,AgentOutlier,stgraph,smartbench,medium,32,975,1,200,OPTIMIZED
a32d4676-9155-409d-8bb0-8e4a1212642c,AgentOutlier,stgraph,smartbench,medium,64,824,1,200,OPTIMIZED
da94749e-1113-479a-a53f-734f963456e1,AgentOutlier,stgraph,smartbench,large,32,13608,1,1000,OPTIMIZED
39ae644b-b729-472a-8195-eaa7fe561988,AgentOutlier,stgraph,smartbench,large,64,14108,1,1000,OPTIMIZED
07e1d278-8aa0-4f93-a73b-58b1d2e824da,AgentOutlier,stgraph,smartbench,small,32,334,4,100,OPTIMIZED
8b5607a8-3710-43c0-b428-7c6923618d4b,AgentOutlier,stgraph,smartbench,small,64,323,4,100,OPTIMIZED
e0fea7d2-0ad0-47cf-91fa-78579c556c96,AgentOutlier,stgraph,smartbench,medium,32,705,4,200,OPTIMIZED
dcd47a37-90f6-4025-8e15-3293b45eb41a,AgentOutlier,stgraph,smartbench,medium,64,672,4,200,OPTIMIZED
7c7dab43-6d3e-4225-8a01-14424002a233,AgentOutlier,stgraph,smartbench,large,32,5543,4,1000,OPTIMIZED
c2f996bf-4a69-4087-9caa-68814ceda99b,AgentOutlier,stgraph,smartbench,large,64,5436,4,1000,OPTIMIZED
c7be0ef3-9162-467b-94e2-dd3925245a45,AgentOutlier,stgraph,smartbench,small,32,307,2,100,OPTIMIZED
66082aa0-a03a-4611-b34e-cb1b7825509a,AgentOutlier,stgraph,smartbench,small,64,304,2,100,OPTIMIZED
c3564c7f-f407-48a7-ad6e-9c33530e1be2,AgentOutlier,stgraph,smartbench,medium,32,646,2,200,OPTIMIZED
6183e59e-c0cb-4c4a-8f0c-0b6c8300eba0,AgentOutlier,stgraph,smartbench,medium,64,642,2,200,OPTIMIZED
367dd2c0-9dc0-4cfe-b9ff-47a5c2c960ac,AgentOutlier,stgraph,smartbench,large,32,7808,2,1000,OPTIMIZED
60f1cc6b-a9b3-4e65-8a06-07f0e0f943a3,AgentOutlier,stgraph,smartbench,large,64,7279,2,1000,OPTIMIZED
446ce3d8-9b4f-45f9-9ef1-64d5a9d86743,MaintenanceOwners,stgraph,smartbench,small,32,439,1,100,OPTIMIZED
e7970845-f42a-42ab-ae47-9b63ca249f98,MaintenanceOwners,stgraph,smartbench,small,64,189,1,100,OPTIMIZED
b6f9eb91-97e1-4f0b-be70-efbd1036f761,MaintenanceOwners,stgraph,smartbench,medium,32,325,1,200,OPTIMIZED
d1a82ac6-abb7-4641-96e9-a6d4a6cb7763,MaintenanceOwners,stgraph,smartbench,medium,64,338,1,200,OPTIMIZED
c088938a-b0a1-4a29-bfc5-aa2e3181d97d,MaintenanceOwners,stgraph,smartbench,large,32,2758,1,1000,OPTIMIZED
450e6b7d-9193-485b-9444-779b09ff4606,MaintenanceOwners,stgraph,smartbench,large,64,2633,1,1000,OPTIMIZED
40e8ec1b-6661-4057-92f9-f161057d5e44,MaintenanceOwners,stgraph,smartbench,small,32,219,4,100,OPTIMIZED
77224859-e854-4410-9781-bccc7ad32ab8,MaintenanceOwners,stgraph,smartbench,small,64,199,4,100,OPTIMIZED
fe701788-5e3b-49ab-bb67-410f105fe9c1,MaintenanceOwners,stgraph,smartbench,medium,32,410,4,200,OPTIMIZED
8481783d-743a-41a6-a08f-69f111f82a0e,MaintenanceOwners,stgraph,smartbench,medium,64,372,4,200,OPTIMIZED
ebbda3a1-2563-46b7-92dc-ad16bb4a4a70,MaintenanceOwners,stgraph,smartbench,large,32,2706,4,1000,OPTIMIZED
f277efbc-3b57-41ee-b728-d0b6b24c56b8,MaintenanceOwners,stgraph,smartbench,large,64,2543,4,1000,OPTIMIZED
29992517-73e5-4903-baf6-44b3d789e562,MaintenanceOwners,stgraph,smartbench,small,32,216,2,100,OPTIMIZED
4e66b3eb-1399-4e51-8775-e005b71d71a0,MaintenanceOwners,stgraph,smartbench,small,64,190,2,100,OPTIMIZED
cb674718-84f6-4b99-8af0-5280e644a7f4,MaintenanceOwners,stgraph,smartbench,medium,32,334,2,200,OPTIMIZED
652ae714-3222-4740-85fe-eafea9552084,MaintenanceOwners,stgraph,smartbench,medium,64,372,2,200,OPTIMIZED
66e70597-16c6-4dd9-a72d-fac5331527b8,MaintenanceOwners,stgraph,smartbench,large,32,2390,2,1000,OPTIMIZED
