test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,36,10,1,None,0,0
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2860,100,1,None,0,0
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,2105,100,1,None,0,0
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,2145,8,1,None,0,0
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,4050,100,1,None,0,0
73a86b85-5f5e-4757-88b1-67f7d530fd25,STGraph,smartbench,small,1,AgentHistory,edgesDirection,22,1,1,None,0,0
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,2,10,1,None,0,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2220,100,1,None,0,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1813,100,1,None,0,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1804,8,1,None,0,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3938,100,1,None,0,1
c9cd3f16-80f2-4ec6-88d2-9e1d6dbf804d,STGraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1,None,0,1
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1,None,0,2
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2049,100,1,None,0,2
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1735,100,1,None,0,2
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1824,8,1,None,0,2
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3938,100,1,None,0,2
454e5b6e-ed70-4d67-8c99-96cab0622086,STGraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1,None,0,2
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1,None,0,3
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2024,100,1,None,0,3
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1641,100,1,None,0,3
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1767,8,1,None,0,3
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3840,100,1,None,0,3
71d16578-6a72-4668-83b2-5ce2b1888184,STGraph,smartbench,small,1,AgentHistory,edgesDirection,19,1,1,None,0,3
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1,None,0,4
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1917,100,1,None,0,4
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1637,100,1,None,0,4
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1859,8,1,None,0,4
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3819,100,1,None,0,4
573e1a42-3bc4-42c6-826b-9efe4c8a3235,STGraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1,None,0,4
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1,None,0,5
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1906,100,1,None,0,5
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1686,100,1,None,0,5
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1775,8,1,None,0,5
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3889,100,1,None,0,5
84d5d028-09f5-4525-9189-6a3f9ecae75d,STGraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1,None,0,5
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,0,10,1,None,0,6
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,2052,100,1,None,0,6
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1665,100,1,None,0,6
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,EnvironmentAlert,edgesDirection,1790,8,1,None,0,6
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,AgentOutlier,edgesDirection,3965,100,1,None,0,6
a5c4e974-8388-4c0c-9a81-ae6249cd4857,STGraph,smartbench,small,1,AgentHistory,edgesDirection,21,1,1,None,0,6
2a79f66c-8f24-48da-8c6b-98d7e67d0c18,STGraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1,None,0,7
