test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,elapsedTime,numMachines,storage,iteration,note,indexTime,tsStorage,gsStorage,tsCard,gsCard,Unnamed: 13
5e7b7f65-183a-44b8-9761-cdb860322190,stgraph,1774890049.073,1774890080.787,mimic-iv,1692200,1,325.0,18879.0,31713.99998664856,2,-2.0,,,0.0,-1.0,-1.0,1666288.0,5995.0,
b56ba20b-ed62-47f1-a6ab-fdec3c1ee01d,stgraph,1774890080.942,1774890099.435,mimic-iv,1692200,16,4588.0,4584.0,18493.000030517578,2,-2.0,,,0.0,-1.0,-1.0,1666288.0,5995.0,
39821e83-e724-4506-8ebf-d428dd0e0658,stgraph,1774890100.151,1774890364.316,mimic-iv,16922000,1,10470.0,162739.0,264164.999961853,2,-2.0,,,0.0,-1.0,-1.0,16705984.0,133754.0,
c3861282-048a-4b6e-8847-53757224a28f,stgraph,1774890364.746,1774890455.274,mimic-iv,16922000,16,12114.0,50337.0,90527.99987792969,2,-2.0,,,0.0,-1.0,-1.0,16705984.0,133754.0,
b1f3a9d3-77cb-4682-abbb-6163f849fb60,stgraph,1774890461.891,1774894414.744,mimic-iv,9223372036854775807,1,626524.0,2466403.0,3952852.9999256134,4,-2.0,,,0.0,-1.0,-1.0,166435273.0,9446926.0,
fb7679a8-51c9-4ce4-9a71-e49e13a6a873,stgraph,1774894420.267,1774895894.256,mimic-iv,9223372036854775807,16,665624.0,298364.0,1473989.000082016,4,-2.0,,,0.0,-1.0,-1.0,166435273.0,9446926.0,
7ea21682-9826-4717-8c0f-45221574700f,stgraph,1774895894.717,1774895918.272,mimic-iv,1692200,1,313.0,11116.0,23555.000066757202,4,-2.0,,,0.0,-1.0,-1.0,1666288.0,5995.0,
6f52a8e3-318b-483d-a949-42dc9bd5a4c0,stgraph,1774895918.773,1774895944.536,mimic-iv,1692200,16,8435.0,5480.0,25763.00001144409,4,-2.0,,,0.0,-1.0,-1.0,1666288.0,5995.0,
14017659-e66e-4840-a89d-706f4de48c23,stgraph,1774895946.235,1774896170.694,mimic-iv,16922000,1,9473.0,125790.0,224459.00011062622,4,-2.0,,,0.0,-1.0,-1.0,16705984.0,133754.0,
0147c9d5-c928-4038-bbea-c9539b4506ec,stgraph,1774896171.538,1774896278.468,mimic-iv,16922000,16,16240.0,49831.0,106929.99982833862,4,-2.0,,,0.0,-1.0,-1.0,16705984.0,133754.0,
9f115538-3195-4d90-8724-2de86af2da87,stgraph,1774900353.809,1774900420.817,smartbench,Small,1,3847.0,12581.0,67007.99989700317,-1,-2.0,,,36879.0,-1.0,-1.0,2592000.0,3497.0,
5f281bca-c45f-48b5-a805-70efa8e32afd,stgraph,1774900420.955,1774900704.564,smartbench,Medium,1,7164.0,53040.0,283608.9999675751,-1,-2.0,,,173980.0,-1.0,-1.0,10368000.0,6237.0,
83b7ffa0-c62c-484d-b83a-b05e91d8b1e0,stgraph,1774900704.833,1774908737.121,smartbench,Large,1,27058.0,1653641.0,8032288.0001068115,-1,-2.0,,,5047141.0,-1.0,-1.0,259200000.0,26537.0,
1c51cefc-945e-40ac-b2d3-f1fe6c83d2c2,stgraph,1774908737.213,1774908806.966,smartbench,Small,1,3602.0,24213.0,69753.00002098083,1,-2.0,,,35782.0,-1.0,-1.0,2592000.0,3497.0,
4b489444-3fd0-488b-b1a8-de706282da41,stgraph,1774908807.302,1774908857.979,smartbench,Small,16,5126.0,9568.0,50677.00004577637,1,-2.0,,,35950.0,-1.0,-1.0,2592000.0,3497.0,
