dataset,datasetSize,queryid,queryMode,elapsedTime,cardinality,cardinality_GT,queryType,cardinality_ratio
synth,Large,SynthFilterProp_foo_400,OPTIMIZED,0.013,200.0,400,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_51200,NAIVE,0.352,25600.0,51200,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_51200,OPTIMIZED,0.212,25600.0,51200,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_6400,NAIVE,0.063,3200.0,6400,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_6400,OPTIMIZED,0.035,3200.0,6400,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_800,NAIVE,0.02,400.0,800,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_800,OPTIMIZED,0.015,400.0,800,SynthFilterProp,0.5
synth,Large,SynthFilter_foo_100,NAIVE,0.073,100.0,100,SynthFilter,1.0
synth,Large,SynthFilter_foo_100,OPTIMIZED,0.014,100.0,100,SynthFilter,1.0
synth,Large,SynthFilter_foo_12800,NAIVE,0.103,100.0,12800,SynthFilter,0.0078125
synth,Large,SynthFilter_foo_12800,OPTIMIZED,0.022,100.0,12800,SynthFilter,0.0078125
synth,Large,SynthFilter_foo_1600,NAIVE,0.021,100.0,1600,SynthFilter,0.0625
synth,Large,SynthFilter_foo_1600,OPTIMIZED,0.012,100.0,1600,SynthFilter,0.0625
synth,Large,SynthFilter_foo_200,NAIVE,0.013,100.0,200,SynthFilter,0.5
synth,Large,SynthFilter_foo_200,OPTIMIZED,0.012,100.0,200,SynthFilter,0.5
synth,Large,SynthFilter_foo_25600,NAIVE,0.217,100.0,25600,SynthFilter,0.00390625
synth,Large,SynthFilter_foo_25600,OPTIMIZED,0.02,100.0,25600,SynthFilter,0.00390625
synth,Large,SynthFilter_foo_3200,NAIVE,0.03,100.0,3200,SynthFilter,0.03125
synth,Large,SynthFilter_foo_3200,OPTIMIZED,0.017,100.0,3200,SynthFilter,0.03125
synth,Large,SynthFilter_foo_400,NAIVE,0.015,100.0,400,SynthFilter,0.25
synth,Large,SynthFilter_foo_400,OPTIMIZED,0.013,100.0,400,SynthFilter,0.25
synth,Large,SynthFilter_foo_51200,NAIVE,0.417,100.0,51200,SynthFilter,0.001953125
synth,Large,SynthFilter_foo_51200,OPTIMIZED,0.028,100.0,51200,SynthFilter,0.001953125
synth,Large,SynthFilter_foo_6400,NAIVE,0.056,100.0,6400,SynthFilter,0.015625
synth,Large,SynthFilter_foo_6400,OPTIMIZED,0.014,100.0,6400,SynthFilter,0.015625
synth,Large,SynthFilter_foo_800,NAIVE,0.021,100.0,800,SynthFilter,0.125
synth,Large,SynthFilter_foo_800,OPTIMIZED,0.011,100.0,800,SynthFilter,0.125
