test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration,queryid,cardinality,queryMode
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,506919.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,14.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,290876.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,11.0,-1.0,-1,,0,2.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,116180.0,-1.0,-1,,0,2.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,510107.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,376977.0,-1.0,-1,,0,1.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,114741.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,300015.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,516182.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentOutlier,edgesDirection,160806.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentHistory,edgesDirection,14.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,88831.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,117568.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,95603.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,12.0,-1.0,-1,,0,3.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,292468.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentOutlier,edgesDirection,508541.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,12.0,-1.0,-1,,0,4.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,12.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentHistory,edgesDirection,12.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,89004.0,-1.0,-1,,0,6.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,115190.0,-1.0,-1,,0,5.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,88417.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,12.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,AgentHistory,edgesDirection,13.0,-1.0,-1,,0,7.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,13.0,-1.0,-1,,0,5.0,,,
